name,full_name,owner,git_url,clone_url,size,language,author,login,url,userProficiency,location
Automatic_Speech_Recognition,ligechina/Automatic_Speech_Recognition,"{'login': 'ligechina', 'id': 20553248, 'node_id': 'MDQ6VXNlcjIwNTUzMjQ4', 'avatar_url': 'https://avatars.githubusercontent.com/u/20553248?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ligechina', 'html_url': 'https://github.com/ligechina', 'followers_url': 'https://api.github.com/users/ligechina/followers', 'following_url': 'https://api.github.com/users/ligechina/following{/other_user}', 'gists_url': 'https://api.github.com/users/ligechina/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ligechina/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ligechina/subscriptions', 'organizations_url': 'https://api.github.com/users/ligechina/orgs', 'repos_url': 'https://api.github.com/users/ligechina/repos', 'events_url': 'https://api.github.com/users/ligechina/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ligechina/received_events', 'type': 'User', 'site_admin': False}",git://github.com/ligechina/Automatic_Speech_Recognition.git,https://github.com/ligechina/Automatic_Speech_Recognition.git,5649,Python,ligechina,ligechina,https://api.github.com/users/ligechina,<50,China
DeepQA,ligechina/DeepQA,"{'login': 'ligechina', 'id': 20553248, 'node_id': 'MDQ6VXNlcjIwNTUzMjQ4', 'avatar_url': 'https://avatars.githubusercontent.com/u/20553248?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ligechina', 'html_url': 'https://github.com/ligechina', 'followers_url': 'https://api.github.com/users/ligechina/followers', 'following_url': 'https://api.github.com/users/ligechina/following{/other_user}', 'gists_url': 'https://api.github.com/users/ligechina/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ligechina/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ligechina/subscriptions', 'organizations_url': 'https://api.github.com/users/ligechina/orgs', 'repos_url': 'https://api.github.com/users/ligechina/repos', 'events_url': 'https://api.github.com/users/ligechina/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ligechina/received_events', 'type': 'User', 'site_admin': False}",git://github.com/ligechina/DeepQA.git,https://github.com/ligechina/DeepQA.git,11545,Python,ligechina,ligechina,https://api.github.com/users/ligechina,<50,China
ConvNetSent,ligechina/ConvNetSent,"{'login': 'ligechina', 'id': 20553248, 'node_id': 'MDQ6VXNlcjIwNTUzMjQ4', 'avatar_url': 'https://avatars.githubusercontent.com/u/20553248?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ligechina', 'html_url': 'https://github.com/ligechina', 'followers_url': 'https://api.github.com/users/ligechina/followers', 'following_url': 'https://api.github.com/users/ligechina/following{/other_user}', 'gists_url': 'https://api.github.com/users/ligechina/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ligechina/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ligechina/subscriptions', 'organizations_url': 'https://api.github.com/users/ligechina/orgs', 'repos_url': 'https://api.github.com/users/ligechina/repos', 'events_url': 'https://api.github.com/users/ligechina/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ligechina/received_events', 'type': 'User', 'site_admin': False}",git://github.com/ligechina/ConvNetSent.git,https://github.com/ligechina/ConvNetSent.git,3851,Python,ligechina,ligechina,https://api.github.com/users/ligechina,<50,China
GeoMAN,yoshall/GeoMAN,"{'login': 'yoshall', 'id': 40017013, 'node_id': 'MDQ6VXNlcjQwMDE3MDEz', 'avatar_url': 'https://avatars.githubusercontent.com/u/40017013?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/yoshall', 'html_url': 'https://github.com/yoshall', 'followers_url': 'https://api.github.com/users/yoshall/followers', 'following_url': 'https://api.github.com/users/yoshall/following{/other_user}', 'gists_url': 'https://api.github.com/users/yoshall/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/yoshall/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/yoshall/subscriptions', 'organizations_url': 'https://api.github.com/users/yoshall/orgs', 'repos_url': 'https://api.github.com/users/yoshall/repos', 'events_url': 'https://api.github.com/users/yoshall/events{/privacy}', 'received_events_url': 'https://api.github.com/users/yoshall/received_events', 'type': 'User', 'site_admin': False}",git://github.com/yoshall/GeoMAN.git,https://github.com/yoshall/GeoMAN.git,7789,Python,yoshall,yoshall,https://api.github.com/users/yoshall,<50,China
AirFormer,yoshall/AirFormer,"{'login': 'yoshall', 'id': 40017013, 'node_id': 'MDQ6VXNlcjQwMDE3MDEz', 'avatar_url': 'https://avatars.githubusercontent.com/u/40017013?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/yoshall', 'html_url': 'https://github.com/yoshall', 'followers_url': 'https://api.github.com/users/yoshall/followers', 'following_url': 'https://api.github.com/users/yoshall/following{/other_user}', 'gists_url': 'https://api.github.com/users/yoshall/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/yoshall/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/yoshall/subscriptions', 'organizations_url': 'https://api.github.com/users/yoshall/orgs', 'repos_url': 'https://api.github.com/users/yoshall/repos', 'events_url': 'https://api.github.com/users/yoshall/events{/privacy}', 'received_events_url': 'https://api.github.com/users/yoshall/received_events', 'type': 'User', 'site_admin': False}",git://github.com/yoshall/AirFormer.git,https://github.com/yoshall/AirFormer.git,83159,Python,yoshall,yoshall,https://api.github.com/users/yoshall,<50,China
UrbanFM,yoshall/UrbanFM,"{'login': 'yoshall', 'id': 40017013, 'node_id': 'MDQ6VXNlcjQwMDE3MDEz', 'avatar_url': 'https://avatars.githubusercontent.com/u/40017013?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/yoshall', 'html_url': 'https://github.com/yoshall', 'followers_url': 'https://api.github.com/users/yoshall/followers', 'following_url': 'https://api.github.com/users/yoshall/following{/other_user}', 'gists_url': 'https://api.github.com/users/yoshall/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/yoshall/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/yoshall/subscriptions', 'organizations_url': 'https://api.github.com/users/yoshall/orgs', 'repos_url': 'https://api.github.com/users/yoshall/repos', 'events_url': 'https://api.github.com/users/yoshall/events{/privacy}', 'received_events_url': 'https://api.github.com/users/yoshall/received_events', 'type': 'User', 'site_admin': False}",git://github.com/yoshall/UrbanFM.git,https://github.com/yoshall/UrbanFM.git,235560,Python,yoshall,yoshall,https://api.github.com/users/yoshall,<50,China
NeuralTextGeneration,JerrikEph/NeuralTextGeneration,"{'login': 'JerrikEph', 'id': 17830427, 'node_id': 'MDQ6VXNlcjE3ODMwNDI3', 'avatar_url': 'https://avatars.githubusercontent.com/u/17830427?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/JerrikEph', 'html_url': 'https://github.com/JerrikEph', 'followers_url': 'https://api.github.com/users/JerrikEph/followers', 'following_url': 'https://api.github.com/users/JerrikEph/following{/other_user}', 'gists_url': 'https://api.github.com/users/JerrikEph/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/JerrikEph/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/JerrikEph/subscriptions', 'organizations_url': 'https://api.github.com/users/JerrikEph/orgs', 'repos_url': 'https://api.github.com/users/JerrikEph/repos', 'events_url': 'https://api.github.com/users/JerrikEph/events{/privacy}', 'received_events_url': 'https://api.github.com/users/JerrikEph/received_events', 'type': 'User', 'site_admin': False}",git://github.com/JerrikEph/NeuralTextGeneration.git,https://github.com/JerrikEph/NeuralTextGeneration.git,22275,Python,JerrikEph,JerrikEph,https://api.github.com/users/JerrikEph,<50,China
SteamTradingSiteTracker,EricZhu-42/SteamTradingSiteTracker,"{'login': 'EricZhu-42', 'id': 14954473, 'node_id': 'MDQ6VXNlcjE0OTU0NDcz', 'avatar_url': 'https://avatars.githubusercontent.com/u/14954473?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/EricZhu-42', 'html_url': 'https://github.com/EricZhu-42', 'followers_url': 'https://api.github.com/users/EricZhu-42/followers', 'following_url': 'https://api.github.com/users/EricZhu-42/following{/other_user}', 'gists_url': 'https://api.github.com/users/EricZhu-42/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/EricZhu-42/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/EricZhu-42/subscriptions', 'organizations_url': 'https://api.github.com/users/EricZhu-42/orgs', 'repos_url': 'https://api.github.com/users/EricZhu-42/repos', 'events_url': 'https://api.github.com/users/EricZhu-42/events{/privacy}', 'received_events_url': 'https://api.github.com/users/EricZhu-42/received_events', 'type': 'User', 'site_admin': False}",git://github.com/EricZhu-42/SteamTradingSiteTracker.git,https://github.com/EricZhu-42/SteamTradingSiteTracker.git,6740,Python,EricZhu-42,EricZhu-42,https://api.github.com/users/EricZhu-42,<50,China
Warframe-MiningAssistant,EricZhu-42/Warframe-MiningAssistant,"{'login': 'EricZhu-42', 'id': 14954473, 'node_id': 'MDQ6VXNlcjE0OTU0NDcz', 'avatar_url': 'https://avatars.githubusercontent.com/u/14954473?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/EricZhu-42', 'html_url': 'https://github.com/EricZhu-42', 'followers_url': 'https://api.github.com/users/EricZhu-42/followers', 'following_url': 'https://api.github.com/users/EricZhu-42/following{/other_user}', 'gists_url': 'https://api.github.com/users/EricZhu-42/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/EricZhu-42/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/EricZhu-42/subscriptions', 'organizations_url': 'https://api.github.com/users/EricZhu-42/orgs', 'repos_url': 'https://api.github.com/users/EricZhu-42/repos', 'events_url': 'https://api.github.com/users/EricZhu-42/events{/privacy}', 'received_events_url': 'https://api.github.com/users/EricZhu-42/received_events', 'type': 'User', 'site_admin': False}",git://github.com/EricZhu-42/Warframe-MiningAssistant.git,https://github.com/EricZhu-42/Warframe-MiningAssistant.git,5499,Python,EricZhu-42,EricZhu-42,https://api.github.com/users/EricZhu-42,<50,China
QZone_Spider,EricZhu-42/QZone_Spider,"{'login': 'EricZhu-42', 'id': 14954473, 'node_id': 'MDQ6VXNlcjE0OTU0NDcz', 'avatar_url': 'https://avatars.githubusercontent.com/u/14954473?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/EricZhu-42', 'html_url': 'https://github.com/EricZhu-42', 'followers_url': 'https://api.github.com/users/EricZhu-42/followers', 'following_url': 'https://api.github.com/users/EricZhu-42/following{/other_user}', 'gists_url': 'https://api.github.com/users/EricZhu-42/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/EricZhu-42/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/EricZhu-42/subscriptions', 'organizations_url': 'https://api.github.com/users/EricZhu-42/orgs', 'repos_url': 'https://api.github.com/users/EricZhu-42/repos', 'events_url': 'https://api.github.com/users/EricZhu-42/events{/privacy}', 'received_events_url': 'https://api.github.com/users/EricZhu-42/received_events', 'type': 'User', 'site_admin': False}",git://github.com/EricZhu-42/QZone_Spider.git,https://github.com/EricZhu-42/QZone_Spider.git,52496,Python,EricZhu-42,EricZhu-42,https://api.github.com/users/EricZhu-42,<50,China
NJU_NLP_SummerCamp_2019,EricZhu-42/NJU_NLP_SummerCamp_2019,"{'login': 'EricZhu-42', 'id': 14954473, 'node_id': 'MDQ6VXNlcjE0OTU0NDcz', 'avatar_url': 'https://avatars.githubusercontent.com/u/14954473?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/EricZhu-42', 'html_url': 'https://github.com/EricZhu-42', 'followers_url': 'https://api.github.com/users/EricZhu-42/followers', 'following_url': 'https://api.github.com/users/EricZhu-42/following{/other_user}', 'gists_url': 'https://api.github.com/users/EricZhu-42/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/EricZhu-42/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/EricZhu-42/subscriptions', 'organizations_url': 'https://api.github.com/users/EricZhu-42/orgs', 'repos_url': 'https://api.github.com/users/EricZhu-42/repos', 'events_url': 'https://api.github.com/users/EricZhu-42/events{/privacy}', 'received_events_url': 'https://api.github.com/users/EricZhu-42/received_events', 'type': 'User', 'site_admin': False}",git://github.com/EricZhu-42/NJU_NLP_SummerCamp_2019.git,https://github.com/EricZhu-42/NJU_NLP_SummerCamp_2019.git,353623,Python,EricZhu-42,EricZhu-42,https://api.github.com/users/EricZhu-42,<50,China
Warframe_Relic,EricZhu-42/Warframe_Relic,"{'login': 'EricZhu-42', 'id': 14954473, 'node_id': 'MDQ6VXNlcjE0OTU0NDcz', 'avatar_url': 'https://avatars.githubusercontent.com/u/14954473?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/EricZhu-42', 'html_url': 'https://github.com/EricZhu-42', 'followers_url': 'https://api.github.com/users/EricZhu-42/followers', 'following_url': 'https://api.github.com/users/EricZhu-42/following{/other_user}', 'gists_url': 'https://api.github.com/users/EricZhu-42/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/EricZhu-42/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/EricZhu-42/subscriptions', 'organizations_url': 'https://api.github.com/users/EricZhu-42/orgs', 'repos_url': 'https://api.github.com/users/EricZhu-42/repos', 'events_url': 'https://api.github.com/users/EricZhu-42/events{/privacy}', 'received_events_url': 'https://api.github.com/users/EricZhu-42/received_events', 'type': 'User', 'site_admin': False}",git://github.com/EricZhu-42/Warframe_Relic.git,https://github.com/EricZhu-42/Warframe_Relic.git,14487,Python,EricZhu-42,EricZhu-42,https://api.github.com/users/EricZhu-42,<50,China
